"","Missing Value","Low","Medium","High","Date"
"177",5,3,174,36,2012-12-21
"178",5,7,172,34,2012-12-22
"179",5,4,176,33,2012-12-23
"180",5,4,174,35,2012-12-24
"181",5,4,180,29,2012-12-25
"182",5,2,184,27,2012-12-26
"183",5,4,179,30,2012-12-27
"184",5,5,171,37,2012-12-28
"185",5,5,177,31,2012-12-29
"186",5,5,177,31,2012-12-30
"187",5,4,174,34,2012-12-31
"188",5,2,187,23,2013-01-01
"189",5,2,175,36,2013-01-02
"190",5,6,173,34,2013-01-03
"191",5,4,178,31,2013-01-04
"192",5,2,188,23,2013-01-05
"193",5,3,165,45,2013-01-06
"194",5,4,186,23,2013-01-07
"195",5,2,177,34,2013-01-08
"196",5,4,184,25,2013-01-09
"197",5,3,188,22,2013-01-10
"198",5,2,184,27,2013-01-11
"199",5,5,173,35,2013-01-12
"200",5,4,175,34,2013-01-13
"201",5,5,177,31,2013-01-14
"202",5,3,182,27,2013-01-15
"203",5,6,171,36,2013-01-16
"204",5,7,180,26,2013-01-17
"205",5,3,181,29,2013-01-18
"206",5,3,178,32,2013-01-19
"207",5,4,185,24,2013-01-20
"208",5,3,185,25,2013-01-21
"209",5,2,173,38,2013-01-22
"210",5,3,172,38,2013-01-23
"211",5,2,179,32,2013-01-24
"212",5,6,175,32,2013-01-25
"213",5,4,184,25,2013-01-26
"214",5,2,187,24,2013-01-27
"215",5,6,172,35,2013-01-28
"216",5,4,176,32,2013-01-29
"217",5,2,176,35,2013-01-30
"218",5,4,189,20,2013-01-31
